Student ,Coding (App Development),Coding (Mobile App Development),Analysis and Design,Database design and administration,Research & Presentation
1,0,1,1,0,1
2,1,0,0,0,1
3,1,1,1,1,1
4,1,0,1,0,1
5,0,0,0,1,0
6,1,0,0,1,0
7,0,1,0,0,0
8,0,0,1,0,1
9,1,0,1,0,1
10,1,0,1,0,0
11,0,0,1,0,1
12,0,0,1,1,0
13,1,1,0,1,1
14,0,0,0,0,1
15,0,0,1,0,1
16,0,0,1,0,1
17,1,0,1,1,1
18,0,0,1,1,1
19,no reposnse,,,,
20,no reposnse,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
